file,has_hidden_void,void_num,center_mass,bounds
5820406_1_2_void.stl,YES,1,"[-16.604, 2.448, 11.453]","[[-20.33, 1.73, 6.709], [-12.879, 3.166, 16.198]]"
5820406_1_2_void.stl,YES,2,"[-21.619, 2.45, 1.215]","[[-21.796, 2.429, 1.094], [-21.442, 2.471, 1.336]]"
5820406_1_2_void.stl,YES,3,"[15.052, 4.298, 21.562]","[[13.577, 4.144, 20.808], [16.527, 4.453, 22.316]]"
5820406_1_3_void.stl,YES,1,"[-18.885, 2.548, 0.24]","[[-18.889, 2.547, 0.238], [-18.881, 2.548, 0.243]]"
5820406_1_3_void.stl,YES,2,"[-20.105, 4.841, 3.976]","[[-20.81, 4.717, 3.505], [-19.399, 4.965, 4.447]]"
5820406_1_3_void.stl,YES,3,"[9.553, 5.168, 25.634]","[[9.523, 5.163, 25.625], [9.583, 5.172, 25.643]]"
5868576_2_10_void.stl,NO,,,
5868576_2_11_void.stl,YES,1,"[27.481, 7.2, 7.628]","[[27.48, 7.2, 7.628], [27.481, 7.2, 7.628]]"
5868576_2_11_void.stl,YES,2,"[11.284, 25.704, 1.317]","[[10.607, 25.271, 1.236], [11.962, 26.137, 1.398]]"
5868576_2_11_void.stl,YES,3,"[31.36, 28.881, 4.111]","[[31.346, 28.864, 4.108], [31.374, 28.898, 4.114]]"
5868576_2_11_void.stl,YES,4,"[28.23, 23.017, 9.378]","[[28.196, 22.967, 9.369], [28.263, 23.068, 9.387]]"
5903116_3_6_void.stl,NO,,,
5903116_3_7_void.stl,NO,,,
5842715_1_2_void.stl,NO,,,
5842715_1_3_void.stl,NO,,,
5823799_4_2_void.stl,NO,,,
5816424_1_1_void.stl,NO,,,
5803369_11_12_void.stl,NO,,,
5826710_1_7_void.stl,NO,,,
5815969_5_10_void.stl,YES,1,"[35.59, 13.496, 51.803]","[[35.59, 13.495, 51.802], [35.591, 13.497, 51.804]]"
5815969_5_10_void.stl,YES,2,"[7.642, 18.74, 2.358]","[[7.641, 18.739, 2.357], [7.642, 18.74, 2.359]]"
5765652_2_12_void.stl,YES,1,"[0.0, 10.0, 10.0]","[[-9.2, 0.8, 0.8], [9.2, 19.2, 19.2]]"
