5826735_2_0,0,"[-1.123286421030437, -4.396291090647598, 21.96656286926602]","[[-1.1865367119764731, -4.627907400876429, 21.897740248158833], [-1.0600361300843981, -4.164674780418759, 22.035385490372562]]"
5826735_2_0,1,"[0.7848958295534901, -17.54530942738795, 22.59137107056859]","[[0.7843745236307754, -17.54573211111581, 22.59120334836102], [0.7854171354760225, -17.544886743679342, 22.591538792713415]]"
5826735_2_0,2,"[18.119854145506338, 21.152046450886715, 23.80369414392401]","[[17.494906176607653, 20.19565767427355, 23.498912796942967], [18.744802114405136, 22.108435227499992, 24.108475490905256]]"
5826735_2_0,3,"[-20.37261254178697, 18.67861057067964, 3.206052767239508]","[[-20.374565581605143, 18.670186344672558, 3.2036725973913303], [-20.370659502006827, 18.68703479672996, 3.20843293709593]]"
5826735_2_1,0,"[34.08626372779219, -12.192972117022185, 5.757578911955624]","[[34.02336127271245, -12.315355233793275, 5.713601986115178], [34.149166182874026, -12.070589000251681, 5.801555837796345]]"
5826735_2_2,0,"[26.603932536615773, 31.54237321776403, 3.790963641090063]","[[26.59605717393825, 31.53128073103031, 3.788152947275507], [26.61180789929351, 31.553465704488882, 3.7937743349050868]]"
5826735_2_2,1,"[30.589812906070275, 11.600135990670609, 3.096019271257448]","[[30.519666986479933, 11.548161675167307, 3.0520002900397722], [30.65995882566159, 11.652110306174038, 3.140038252475164]]"
5826735_2_2,2,"[-12.354911098996814, 23.684180776773772, 17.48783899310592]","[[-12.67773936590912, 23.118652648566467, 17.319139070142292], [-12.03208283208451, 24.24970890498132, 17.656538916069536]]"
5826735_2_2,3,"[1.1773098967770124, -34.962250060458054, 18.53700840753907]","[[1.1664250468764157, -34.976366491747, 18.53380282757231], [1.1881947466776206, -34.94813362917395, 18.540213987510626]]"
5826735_2_3,0,"[31.730808966126272, -10.85669346021561, 4.053398126856136]","[[31.712043376914835, -10.887818127712046, 4.0430404743532], [31.749574555339876, -10.8255687927193, 4.063755779359282]]"
5826735_2_3,1,"[-20.112813534101853, 41.671276582512796, 9.984506442193274]","[[-20.784688587657953, 40.58605845018175, 9.816204093619248], [-19.440938480545668, 42.756494714843825, 10.152808790767246]]"
5826735_2_3,2,"[15.02393530405079, -32.738576827626204, 6.196126577999017]","[[13.276140660503616, -34.34735685364254, 5.410618560742547], [16.771729947597944, -31.12979680160984, 6.981634595255487]]"
5826735_2_3,3,"[34.7364068468877, -15.936357133616958, 5.256374136520166]","[[34.720497876602664, -15.95403079209688, 5.249177601204508], [34.75231581716707, -15.918683475136369, 5.263570671835886]]"
5826735_2_3,4,"[-1.9261509674503468, 32.68306032477553, 16.697046909846463]","[[-2.093147825241312, 32.470491653318476, 16.64437414482937], [-1.7591541096593826, 32.895628996232986, 16.74971967486357]]"
5826735_2_4,1,"[33.39709296240248, -3.261317232653304, 7.655974116657812]","[[33.358021869491495, -3.336260520013406, 7.622144929857363], [33.43616405531613, -3.186373945293232, 7.689803303458305]]"
5826735_2_4,2,"[20.242041778156953, 48.35614682919844, 15.471663679481365]","[[20.24190295191708, 48.355624174751725, 15.471505108739528], [20.242180604697868, 48.35666948368829, 15.471822250222402]]"
5826735_2_4,3,"[-6.659568475976914, 16.039048307699662, 18.543796813765635]","[[-6.969836135846617, 15.79139460020961, 18.41313588428929], [-6.349300816107241, 16.28670201518968, 18.674457743241952]]"
5903116_5_0,0,"[-2.828631585721038, -19.077073055966732, 4.664042147268091]","[[-4.3003319343387645, -22.036461305478174, 4.1178410614660494], [-1.3569312371033102, -16.117684806455284, 5.210243233070133]]"
5903116_5_1,0,"[-8.225266110171969, -25.988162340795352, 8.340157231804199]","[[-8.516244186437085, -26.385843033552668, 8.159837686553118], [-7.934288033906853, -25.590481648038264, 8.520476777055244]]"
5903116_5_1,2,"[-7.987409697250387, 22.0113520014871, 4.617810456686743]","[[-8.997051535886738, 20.506910224149607, 4.359009470250719], [-6.9777678586140315, 23.51579377882458, 4.8766114431227585]]"
5903116_5_2,0,"[10.023269273233762, -21.0312380899094, 2.2718945077061306]","[[9.87811061361525, -21.596874969704164, 2.178489213217094], [10.168427932852138, -20.46560121011434, 2.365299802195136]]"
5903116_5_2,1,"[16.330092259110774, 4.536043715853954, 1.183724859094709]","[[16.19880803357453, 3.9992847751952865, 1.0456854728500675], [16.461376484647104, 5.072802656512641, 1.3217642453393557]]"
5903116_5_2,2,"[-12.636873982905778, -18.797939319774134, 1.7448491950327445]","[[-15.299386899765462, -24.690540882939032, 0.6122148337162581], [-9.974361066046079, -12.905337756609226, 2.87748355634923]]"
5903116_5_2,3,"[10.690895623934415, -15.620109406345097, 3.151991208245551]","[[9.680670224106823, -17.745842003203553, 2.626694925312374], [11.701121023762031, -13.494376809486683, 3.6772874911787357]]"
5903116_5_2,4,"[6.301964010523076, -1.214205671758364, 4.8357892050969]","[[4.859071495712488, -6.724966396159804, 4.1245281221561285], [7.744856525333663, 4.296555052643075, 5.547050288037671]]"
5805844_1_1,0,"[37.80654475410297, 27.639425520930946, 0.2619334075865786]","[[31.53771390904294, 23.85709128878727, 0.15146430142011438], [44.075375599162975, 31.421759753074586, 0.37240251375304256]]"
5805844_1_1,1,"[45.59250403443663, 65.332030696307, 1.238747010904183]","[[43.19895048173371, 63.581104249228154, 1.2193212792520076], [47.98605758713952, 67.0829571433859, 1.2581727425563498]]"
5805844_1_1,2,"[2.9762198551874133, 5.067296633212634, 1.4951970847491576]","[[2.976057305156561, 5.067240798687902, 1.4951948083541193], [2.976382405215444, 5.067352467753228, 1.4951993611780967]]"
5763731_1_1,0,"[1.0412267737116563, 40.240719839336855, 1.3589099303639076]","[[1.040325234751284, 40.23900766809324, 1.3571855717708374], [1.0421283126721854, 40.24243201056322, 1.3606342889572332]]"
5763731_1_1,1,"[17.955283831652828, 12.012289999817998, 12.49183183755812]","[[17.30778688313295, 11.291596681251722, 11.757666994208664], [18.60278078017266, 12.732983318384239, 13.22599668090754]]"
5763731_1_1,4,"[48.447278057369765, 49.28439253155055, 4.077804381808142]","[[48.03913419845016, 48.972738657112416, 3.804181188863745], [48.85542191628852, 49.596046405988176, 4.351427574752484]]"
5763731_1_2,1,"[22.093012635229357, 18.211605646551472, 11.28724773780325]","[[22.06643684773213, 18.175454170864512, 11.24677575341695], [22.11958842272927, 18.247757122240984, 11.327719722190983]]"
5840852_9_0,0,"[-18.218616307117458, 16.651097942611205, 14.773548290840518]","[[-18.21952364014926, 16.650418182198646, 14.773026739658802], [-18.21770897401301, 16.651777702963503, 14.774069841978035]]"
5840852_9_1,0,"[18.381934703061013, 28.005484896848724, 4.356181268533596]","[[15.83472122488216, 25.216044815053266, 3.283376912177864], [20.92914818123986, 30.794924978644197, 5.428985624889329]]"
5840852_9_1,1,"[-1.063507521823734, -21.60949742746675, 5.849410202735028]","[[-9.204502409548903, -27.004639236729307, 1.3337700679076416], [7.077487365901435, -16.2143556182042, 10.365050337562417]]"
5840852_9_1,2,"[18.158683266004793, 16.813246236970148, 11.805679727724966]","[[18.157489688217993, 16.81240240179127, 11.804861874935233], [18.159876843813798, 16.81409007217602, 11.80649758053091]]"
5840852_9_1,3,"[2.206738610533147, -24.64488972707309, 36.3321485536664]","[[1.6056133455991297, -25.08909265931507, 35.890612346396864], [2.8078638754671648, -24.20068679483108, 36.773684760936106]]"
5840852_9_2,0,"[11.705564457647787, -15.804751545218174, 35.7485171882103]","[[11.280999559099953, -16.22123164398419, 35.35358873725855], [12.130129356195596, -15.388271446452146, 36.14344563916214]]"
5840852_9_3,0,"[-17.45233117991976, 2.036980244764324, 8.246194444264113]","[[-18.080341605151677, 1.6490397374839452, 8.082127943002332], [-16.824320754687886, 2.424920752044714, 8.41026094552595]]"
