5826735_2_0,0,"[30.337524543759653, -16.95551153724286, 6.793707952730258]","[[30.337072370763057, -16.955916528515782, 6.793423119692541], [30.337976716374325, -16.95510654582664, 6.793992785703523]]"
5826735_2_0,1,"[11.884359638470913, -22.615637911668504, 19.9409618748821]","[[11.186356575317173, -23.33944299593844, 19.66971407221618], [12.582362701624678, -21.891832827398744, 20.212209677548138]]"
5826735_2_0,2,"[-15.945141176426564, 46.87238373989079, 7.653530292255707]","[[-16.372058569399353, 45.99670226692308, 7.484362828745629], [-15.518223783453816, 47.74806521285845, 7.822697755765796]]"
5826735_2_0,3,"[-11.305702313335972, 26.303456001729238, 14.595325912797488]","[[-12.396693238063481, 24.54430436685317, 13.728993668476285], [-10.21471138860846, 28.062607636605335, 15.461658157118684]]"
5826735_2_0,4,"[11.639645720476372, -24.390513150873666, 22.395569426320712]","[[11.062347145367287, -25.30793611676207, 21.754475720098114], [12.216944295585431, -23.47309018498507, 23.036663132543218]]"
5903116_5_0,0,"[-1.50071287790319, -26.527805999230438, 8.509943362338856]","[[-1.539983776240202, -26.715465867084095, 8.466947266333769], [-1.4614419795661748, -26.340146131376887, 8.552939458343904]]"
5903116_5_0,1,"[5.859325394000485, -3.536617787873254, 3.0389327685164886]","[[5.6855960361269755, -3.832393512304478, 2.9487018233938405], [6.033054751873996, -3.240842063442009, 3.129163713639126]]"
5903116_5_1,0,"[3.7202127625728028, 8.700532145557249, 0.5558747951420115]","[[3.68405377178513, 8.649961122941955, 0.5478482509038123], [3.7563717533605474, 8.75110316817288, 0.5639013393802224]]"
5903116_5_1,1,"[-13.451808495782428, 13.027066205907891, 1.5278544670214986]","[[-13.648605466494958, 12.695269114074584, 1.3689065042277304], [-13.255011525070044, 13.358863297741316, 1.6868024298152842]]"
5903116_5_1,2,"[-1.6154529300819291, -13.226640693402098, 3.0108161126522948]","[[-6.523009374970552, -18.485325277897275, 0.3786937259248231], [3.292103514806694, -7.96795610890692, 5.642938499379767]]"
5903116_5_1,3,"[-15.945128939356046, 16.498829703557796, 0.9357479902132204]","[[-16.09882051698766, 16.20007652191218, 0.8818087655953236], [-15.791437361724615, 16.79758288520383, 0.9896872148311359]]"
5903116_5_1,4,"[0.5392183390598078, -15.721847303283559, 13.684983461475722]","[[-0.20852296513021806, -18.01590836243532, 13.056039360943103], [1.2869596432498336, -13.427786244131802, 14.313927562008349]]"
5903116_5_1,5,"[-11.6909064384465, 0.1759551210521844, 5.802166281418603]","[[-11.702011703588244, 0.16027838519869392, 5.797203335105713], [-11.679801173305073, 0.19163185690568724, 5.807129227732696]]"
5903116_5_1,6,"[9.63947033426257, 2.5000214677784665, 2.898814245714695]","[[9.63432966949876, 2.4899611067629674, 2.896182636679726], [9.644610999029767, 2.510081828794897, 2.9014458547507185]]"
5903116_5_1,7,"[-3.071480603160641, -22.8059178031947, 2.4299199033771313]","[[-5.466353884571598, -25.73249961784932, 1.2304674190077027], [-0.6766073217496835, -19.879335988540078, 3.62937238774656]]"
5903116_5_1,8,"[-4.617277350388866, 20.63816211334961, 3.8821140626026756]","[[-5.365875353096529, 19.73228120365296, 3.588034648489558], [-3.868679347681203, 21.544043023046285, 4.176193476715802]]"
5903116_5_1,9,"[14.188860600848171, -7.617407731870606, 5.044936321873923]","[[13.917625120454133, -8.02783101097239, 4.871959853542002], [14.460096081242185, -7.206984452768831, 5.21791279020584]]"
5903116_5_1,10,"[3.2067350052921655, 2.405446024315829, 3.813786455547044]","[[0.2912300400972647, -2.967419764611318, 2.4839804358186877], [6.122239970487065, 7.778311813242976, 5.1435924752754]]"
5903116_5_1,11,"[10.073689005796446, 2.6524168891229682, 1.5406642478471098]","[[9.853698594673835, 2.204051860110112, 1.3737474922733028], [10.29367941691905, 3.100781918135824, 1.7075810034209162]]"
5903116_5_1,12,"[12.111028901513578, -18.832490859174925, 12.803601139968318]","[[11.558789420416456, -19.380021693873417, 12.46466576351757], [12.663268382610717, -18.28496002447651, 13.142536516419117]]"
5903116_5_1,13,"[-15.690785849479159, -13.590373898187586, 3.458817944140722]","[[-15.713359389343175, -13.620876031649438, 3.4536518602616506], [-15.668212309615019, -13.559871764725134, 3.4639840280196172]]"
5903116_5_1,14,"[-1.4716650301136767, -21.737175512204566, 5.158049504455311]","[[-1.5583798658424743, -21.850505472283416, 5.130328928633332], [-1.3849501943848719, -21.623845552125722, 5.1857700802773445]]"
5805844_1_0,1,"[64.4912611553252, 3.797017870503355, 1.552098991680186]","[[64.4656325378555, 3.7860438027523946, 1.551463357991679], [64.51688977279596, 3.807991938255392, 1.552734625369395]]"
5805844_1_0,3,"[37.38301179829625, 35.74512922653691, 1.064777173961468]","[[9.094061766537987, 21.82539955742795, 0.7778849854794396], [65.67196183005451, 49.664858895645885, 1.3516693624434963]]"
5805844_1_0,5,"[157.53548884680427, 63.17061025553466, 1.207343726693993]","[[145.52961883271553, 55.76570029308246, 1.144411105354346], [169.54135886089313, 70.57552021798688, 1.2702763480336396]]"
5805844_1_0,6,"[80.05194971481734, 63.983427225689766, 1.0173488635219188]","[[75.7173553526132, 62.477658526879935, 0.9793222949868995], [84.38654407702148, 65.48919592449951, 1.0553754320569335]]"
5805844_1_0,7,"[83.4100339147196, 1.1957046740947603, 0.8621742037103802]","[[83.3607695641576, 1.1651228976751415, 0.8612741007160287], [83.45929826524632, 1.226286450514115, 0.8630743067045001]]"
5805844_1_0,8,"[142.50683448432625, 9.433282409401297, 1.2116255964925131]","[[138.63604612427366, 8.521042658799075, 1.1811259329380701], [146.377622844379, 10.345522160003554, 1.2421252600469614]]"
5805844_1_0,9,"[54.41395987587478, 4.20767170972786, 1.8831248858107146]","[[54.40954639141025, 4.206079250356667, 1.8830771728662596], [54.41837336042713, 4.209264169105338, 1.883172598754438]]"
5805844_1_0,10,"[41.28648008685925, 26.81493903787266, 0.4722351263405573]","[[41.23901049038901, 26.77456085932475, 0.47168252843784414], [41.33394968332387, 26.85531721641611, 0.472787724243155]]"
5805844_1_2,0,"[62.18417418866563, 34.36019703728802, 1.1548385294927295]","[[47.302914420491945, 29.192738063084835, 0.9357679616603489], [77.0654339568393, 39.52765601149123, 1.37390909732511]]"
5805844_1_2,1,"[162.93736549658996, 23.78296418734539, 0.1358554088293755]","[[162.20583486621513, 23.456076914871186, 0.1255476664486705], [163.6688961269649, 24.10985145981947, 0.1461631512100801]]"
5805844_1_2,2,"[62.41890488897984, 25.063588593770977, 1.8436028123159196]","[[62.36193223015426, 25.047632647474252, 1.8430613441847488], [62.475877547806526, 25.079544540068746, 1.8441442804468582]]"
5805844_1_2,3,"[3.7033288285817596, 28.212119611886138, 0.44645189118505224]","[[0.9668716194868852, 27.56589703471181, 0.41958332682820876], [6.439786037676636, 28.858342189060494, 0.47332045554189595]]"
5805844_1_3,0,"[77.45074328673749, 72.22352157930004, 1.870920391477741]","[[75.96445994406366, 70.55467988249242, 1.835874139846735], [78.93702662941172, 73.89236327610806, 1.9059666431087523]]"
5805844_1_3,1,"[51.69010534517338, 32.060227853265566, 0.42260929626461313]","[[51.68908445979765, 32.059799680571054, 0.42260417276661], [51.69112623080314, 32.06065602596242, 0.42261441976328007]]"
5805844_1_3,2,"[8.995039499381262, 52.059228647734415, 0.6498174459575845]","[[8.99469185132371, 52.059004632820056, 0.6498117881002475], [8.995387147377512, 52.05945266270263, 0.649823103805823]]"
5805844_1_3,3,"[140.78692292536456, 29.80178426104647, 1.6091568242308614]","[[125.52367495502044, 23.15777238289462, 1.284889919603426], [156.05017089570885, 36.445796139198336, 1.9334237288582985]]"
5805844_1_3,6,"[146.335031467601, 56.97639967816324, 1.6898577161395356]","[[146.18436458809754, 56.8833193508423, 1.6880906295774438], [146.48569834711157, 57.06948000548883, 1.6916248027015661]]"
5785050_6_0,0,"[31.070587251148226, 18.33777719371863, 14.606071820923862]","[[29.61549360719528, 17.89844336632308, 14.425198617009992], [32.52568089510115, 18.777111021114095, 14.78694502483774]]"
5785050_6_0,1,"[57.34140913365, 10.431101507552283, 16.783738581139236]","[[56.12259119649953, 9.996946315627563, 16.661362952610315], [58.56022707080059, 10.865256699477007, 16.90611420966812]]"
5785050_6_0,2,"[25.233187328062765, -10.88605478003934, 12.813592866658576]","[[25.101803209594546, -10.919624494527135, 12.79579687844855], [25.364571446531617, -10.852485065551846, 12.831388854868925]]"
5785050_6_0,3,"[30.71207813265008, 11.118981464822957, 14.245469470889276]","[[30.309447552552307, 10.997316339008806, 14.154288060774016], [31.114708712747962, 11.24064659063726, 14.33665088100477]]"
5785050_6_0,5,"[39.39538730618956, -10.861674458307306, 16.888355450424264]","[[39.38700535337331, -10.863440793850444, 16.887008956016903], [39.40376925899888, -10.8599081227541, 16.889701944817748]]"
5785050_6_0,7,"[65.5237426897369, 12.24141868269799, 14.205884426354375]","[[64.90805883417396, 11.979273012824516, 14.068978901072436], [66.13942654530037, 12.503564352571592, 14.342789951636439]]"
5785050_6_0,8,"[83.70301262738094, -15.162007021656393, 1.5959531558282833]","[[83.6170976246827, -15.180679550622344, 1.5909111248507544], [83.78892763008126, -15.143334492690126, 1.6009951868058407]]"
5785050_6_0,9,"[33.90314375955156, 11.486675531115267, 15.91603915426917]","[[31.70594893494307, 10.967198134227539, 15.720434515422111], [36.10033858415998, 12.006152928003003, 16.111643793116226]]"
5785050_6_0,10,"[-30.9667305720589, -19.539385357791172, 1.4743903667845797]","[[-33.106813854841405, -20.462210941616274, 1.3075844441999465], [-28.826647289276394, -18.61655977396615, 1.641196289369212]]"
5785050_6_0,11,"[19.70837799302091, 7.422682141172542, 0.9655513461249495]","[[19.7079546097709, 7.4225755682246595, 0.9654777780243509], [19.70880137617575, 7.42278871415992, 0.9656249142243423]]"
5785050_6_0,12,"[24.029116148496136, -19.181309148182265, 0.6422128275953519]","[[24.02765134493385, -19.18208538578925, 0.6419630724098119], [24.030580952029673, -19.180532910522004, 0.6424625827793272]]"
5785050_6_1,0,"[79.00581834212458, 15.650135963622008, 10.953293283002294]","[[77.78759808017534, 15.153646236233683, 10.869635732282669], [80.22403860407323, 16.146625691010236, 11.036950833721809]]"
5763731_1_0,0,"[30.926740722794392, 26.722007776449253, 22.04756888522496]","[[30.926260739297163, 26.721311493120695, 22.04643158220472], [30.92722070657932, 26.72270406001563, 22.048706188419615]]"
5763731_1_0,4,"[38.2586252282519, 23.983214258960746, 5.799791368278859]","[[35.996656902203156, 22.69789263885163, 4.13489218463938], [40.5205935543006, 25.268535879069827, 7.464690551918327]]"
5763731_1_0,6,"[31.949893447492084, 39.578990112126185, 3.1903984074304756]","[[31.944299579399015, 39.57427789249866, 3.18555988116773], [31.95548731560696, 39.583702331739474, 3.1952369336957003]]"
5763731_1_0,8,"[37.73032602560736, 1.6378070859739888, 9.432515994597441]","[[37.72605566186374, 1.6300504370061777, 9.424800262544892], [37.73459638934483, 1.645563734941403, 9.440231726647625]]"
5763731_1_0,9,"[38.3832633119587, 26.10929996447827, 27.714901828220665]","[[37.63848830322482, 25.366853167221393, 26.88087148348392], [39.12803832069285, 26.851746761735285, 28.548932172957446]]"
5763731_1_1,0,"[15.316403894519539, 5.483124254647697, 2.9267929868437657]","[[15.315261608997515, 5.482240022691927, 2.926373990626864], [15.317546180051595, 5.484008486607904, 2.927211983063792]]"
5840852_9_0,0,"[17.148623588371322, 5.171410360380701, 3.69157012265434]","[[13.298207140617116, 0.6502559578176994, 0.24280785800344828], [20.99904003612552, 9.692564762943704, 7.140332387305232]]"
5840852_9_0,1,"[9.434411404559887, 13.138968186470974, 8.713636127746543]","[[9.359558173754651, 13.005593519319381, 8.596538381423816], [9.509264635365133, 13.27234285362257, 8.830733874069235]]"
5840852_9_0,2,"[-2.043223587145697, 9.119687633903926, 11.35990641516421]","[[-4.716075412944279, 6.6610457062730655, 10.599029492082916], [0.6296282386528853, 11.57832956153478, 12.120783338245506]]"
