file,has_hidden_void,void_num,center_mass,bounds
5823799_4_2_void.stl,NO,,,
5816424_1_1_void.stl,NO,,,
5816424_1_0_void.stl,NO,,,
5821076_1_2_void.stl,YES,1,"[144.579, 2.355, 163.848]","[[144.579, 2.355, 163.847], [144.58, 2.355, 163.848]]"
5821076_1_2_void.stl,YES,2,"[121.527, 0.913, 117.082]","[[121.493, 0.907, 117.055], [121.561, 0.92, 117.108]]"
5821076_1_2_void.stl,YES,3,"[146.58, 0.987, 14.805]","[[146.579, 0.987, 14.804], [146.582, 0.987, 14.807]]"
5821076_1_2_void.stl,YES,4,"[173.09, 2.966, 77.173]","[[173.09, 2.966, 77.173], [173.091, 2.966, 77.174]]"
5821076_1_2_void.stl,YES,5,"[150.799, 2.81, 75.994]","[[150.774, 2.809, 75.982], [150.825, 2.812, 76.006]]"
5821076_1_2_void.stl,YES,6,"[124.986, 1.349, 106.252]","[[124.984, 1.349, 106.251], [124.987, 1.349, 106.253]]"
5805749_1_0_void.stl,YES,1,"[17.896, 1.534, 1.322]","[[16.758, 0.389, 1.118], [19.034, 2.679, 1.525]]"
5805749_1_0_void.stl,YES,2,"[27.494, 16.082, 4.059]","[[27.494, 16.081, 4.059], [27.494, 16.082, 4.059]]"
5805749_1_0_void.stl,YES,3,"[19.118, 1.721, 0.829]","[[18.728, 1.45, 0.792], [19.508, 1.993, 0.866]]"
5805749_1_0_void.stl,YES,4,"[32.329, 20.608, 4.141]","[[32.204, 20.545, 4.111], [32.454, 20.671, 4.17]]"
5805749_1_0_void.stl,YES,5,"[31.33, 27.462, 3.499]","[[31.328, 27.46, 3.498], [31.333, 27.463, 3.499]]"
5805749_1_0_void.stl,YES,6,"[30.34, 2.899, 3.336]","[[30.339, 2.898, 3.336], [30.341, 2.899, 3.336]]"
5805749_1_0_void.stl,YES,7,"[15.902, 11.901, 1.804]","[[15.893, 11.892, 1.802], [15.912, 11.909, 1.806]]"
5805749_1_0_void.stl,YES,8,"[1.743, 23.232, 0.994]","[[1.579, 23.174, 0.979], [1.906, 23.29, 1.009]]"
5805749_1_0_void.stl,YES,9,"[7.589, 24.241, 0.381]","[[7.536, 24.168, 0.372], [7.643, 24.314, 0.39]]"
5803369_7_1_void.stl,YES,1,"[-3.795, -14.35, 5.098]","[[-5.256, -18.696, 0.753], [-2.339, -10.002, 9.446]]"
5803369_7_0_void.stl,YES,1,"[-3.795, -14.35, 5.098]","[[-5.256, -18.696, 0.753], [-2.339, -10.002, 9.446]]"
5821076_1_3_void.stl,NO,,,
5805749_1_1_void.stl,YES,1,"[18.697, 13.286, 1.85]","[[15.864, 11.237, 1.539], [21.53, 15.336, 2.161]]"
5805749_1_1_void.stl,YES,2,"[15.994, 14.766, 1.372]","[[15.988, 14.764, 1.371], [16.0, 14.768, 1.372]]"
5805749_1_1_void.stl,YES,3,"[9.485, 13.171, 2.276]","[[9.465, 13.152, 2.274], [9.504, 13.189, 2.277]]"
5805749_1_1_void.stl,YES,4,"[29.932, 7.424, 4.744]","[[29.923, 7.415, 4.743], [29.94, 7.434, 4.745]]"
5805749_1_1_void.stl,YES,5,"[27.707, 4.871, 4.845]","[[27.437, 4.587, 4.816], [27.977, 5.154, 4.874]]"
