5826735_2_0,0,"[13.033236466599924, -23.940103532065574, 21.579453536556176]","[[13.019144030792905, -23.96895281436989, 21.57514348035874], [13.047328902405635, -23.911254249758112, 21.583763592748994]]"
5826735_2_0,1,"[-21.659808581129735, -12.110044995693597, 7.54998340585637]","[[-22.870789838314554, -14.339640114372665, 7.147760117279098], [-20.448827323944965, -9.880449877014547, 7.952206694433649]]"
5826735_2_1,0,"[10.962854071488142, -25.151907574597832, 19.503656027995866]","[[10.960480519098931, -25.15580123623501, 19.502351548772552], [10.965227623870055, -25.14801391294485, 19.504960507231473]]"
5826735_2_1,2,"[13.345385323301159, 24.55242775159756, 16.904864188030167]","[[13.313961662545681, 24.482725459471236, 16.895819729884522], [13.376808984055328, 24.622130043721786, 16.91390864617638]]"
5826735_2_1,3,"[-1.1005563792251967, -3.504124566878363, 15.37301430181423]","[[-1.1054917456792288, -3.5130321481244575, 15.37194758317861], [-1.095621012771192, -3.4952169856324193, 15.374081020444088]]"
5826735_2_1,4,"[-5.154532861741842, -25.093467122641233, 6.670063426299439]","[[-5.4189309206899745, -26.09125175132383, 6.482325809121603], [-4.890134802793717, -24.095682493958627, 6.8578010434772825]]"
5826735_2_2,0,"[-5.436131333319152, 48.37985641757224, 19.720995421082435]","[[-5.7226974414927, 47.84256830749736, 19.610310236395065], [-5.149565225145606, 48.917144527647196, 19.83168060576979]]"
5826735_2_3,0,"[4.67910345201153, -1.9617641569487165, 6.8259532731196275]","[[4.555211728935163, -2.160511837530532, 6.764719860293235], [4.802995175087915, -1.763016476366903, 6.887186685946075]]"
5826735_2_3,1,"[-6.35136619847122, -15.245291349230774, 25.542773850279413]","[[-8.383806843266726, -17.486745460320428, 24.209292149519285], [-4.318925553675719, -13.003837238141124, 26.876255551039485]]"
5903116_5_0,0,"[4.038342733319115, -5.478994918099656, 0.13871645107070116]","[[3.997075674630245, -5.569310251304621, 0.11869569747388166], [4.079609792007987, -5.3886795848947315, 0.15873720466752095]]"
5903116_5_0,1,"[15.736698276761073, -14.991905402256927, 0.8820680978164944]","[[15.014818938168954, -16.096428781612918, 0.5796961957952084], [16.458577615353228, -13.887382022900947, 1.1844399998377813]]"
5903116_5_0,2,"[-12.397208243118111, -0.6790616690257673, 0.9642757125391039]","[[-13.080288312580677, -1.9870373337192193, 0.6241498017804221], [-11.714128173655528, 0.628913995667685, 1.3044016232977858]]"
5903116_5_1,0,"[-0.31351435668891636, 0.6159200636307531, 3.819984520986748]","[[-2.06156255285691, -2.7857910648590334, 2.3769077224228283], [1.4345338394790774, 4.01763119212054, 5.263061319550669]]"
5903116_5_1,1,"[6.090927292606103, 18.505990988831815, 3.4900357313485793]","[[6.088452976512073, 18.499426060926275, 3.487365383272792], [6.093401608697185, 18.512555916735735, 3.492706079423303]]"
5903116_5_1,2,"[-12.659791139109856, -13.06877303842357, 1.7028994078454303]","[[-12.729252607767616, -13.34526051232887, 1.6322651986949668], [-12.590329670451656, -12.792285564517567, 1.7735336169958023]]"
5903116_5_1,3,"[14.55551502041322, -2.1502317565011153, 0.5841486009045008]","[[14.215750485908456, -2.818482791805631, 0.40057283567346097], [14.895279554917986, -1.4819807211966112, 0.7677243661355431]]"
5903116_5_2,0,"[-2.2459515521527322, -11.732011394912407, 4.521374182328597]","[[-5.308073637215399, -16.29449942048238, 3.4177582161562077], [0.816170532909934, -7.169523369342434, 5.624990148500989]]"
5903116_5_2,2,"[-9.860839156263742, -20.569684322515865, 15.689291439891036]","[[-9.95165249151339, -20.73252729971059, 15.60091640832227], [-9.770025821014169, -20.406841345321162, 15.777666471459892]]"
5903116_5_2,3,"[2.3284332316017884, 2.764829649746015, 3.6967862837241037]","[[1.9526911427784108, 2.251744584179258, 3.585306683271419], [2.7041753204251666, 3.277914715312774, 3.8082658841767874]]"
5903116_5_2,4,"[-0.05068695771275599, -24.667231675752124, 15.202955109712759]","[[-0.4945176912506114, -25.415603671241286, 14.912700640875237], [0.3931437758250994, -23.918859680262983, 15.49320957855037]]"
5805844_1_0,0,"[25.886475190462736, 40.74304657891733, 0.2833113392569078]","[[19.680463660830227, 39.25094686391836, 0.19400509158143164], [32.09248672009524, 42.23514629391619, 0.3726175869323839]]"
5805844_1_0,1,"[120.68893705813082, 57.14288938122476, 0.6705068959776989]","[[120.59333816783568, 57.08760661114682, 0.667737598729981], [120.78453594841896, 57.198172151297534, 0.673276193225377]]"
5805844_1_1,0,"[70.88137026370191, 34.162752774556274, 0.5548643907097767]","[[70.87083677886024, 34.15827001753179, 0.5547465283576606], [70.89190374844348, 34.16723553157324, 0.5549822530618161]]"
5805844_1_1,1,"[30.372159714828193, 42.817334604352965, 0.5266545293674153]","[[26.303267660182453, 42.13651843629796, 0.499829796544275], [34.441051769473944, 43.498150772407826, 0.5534792621905562]]"
5805844_1_1,2,"[28.516612892558825, 79.74101124257213, 1.8403211970384807]","[[28.469026181229623, 79.72201254555236, 1.8396268344463356], [28.564199603886465, 79.760009939606, 1.8410155596306894]]"
5805844_1_1,3,"[64.69604363356292, 77.22630933570244, 0.5942526490742988]","[[57.976035605255014, 75.42277163714292, 0.5518672457064681], [71.41605166187098, 79.0298470342621, 0.6366380524421299]]"
5805844_1_1,4,"[131.25469751261664, 42.503067152176264, 0.7048163557027814]","[[125.69568934376576, 41.17926821487209, 0.6387419350848678], [136.8137056814674, 43.82686608948048, 0.7708907763206949]]"
5805844_1_1,5,"[138.01870250873299, 75.69945516978419, 0.27531336961145075]","[[138.01302266795204, 75.6964993515619, 0.2752461300833459], [138.02438234992036, 75.70241098814893, 0.2753806091399352]]"
5805844_1_1,6,"[53.16701993284654, 20.063853106855433, 1.0339224903835198]","[[51.16659258131135, 19.443264290449182, 1.0242647450645146], [55.16744728438188, 20.684441923261797, 1.0435802357025281]]"
5805844_1_1,7,"[139.62486030396087, 38.1426797490432, 1.73594545400611]","[[131.45014794896179, 35.131887627848705, 1.576793178220615], [147.79957265895996, 41.15347187023769, 1.895097729791606]]"
5805844_1_1,8,"[2.5454061860972392, 76.01612806902897, 1.2972494427489671]","[[1.6292875428060736, 75.5662688513315, 1.2839645548183305], [3.461524829388404, 76.46598728672586, 1.3105343306795998]]"
5805844_1_1,9,"[86.03887244269154, 52.646880285566496, 1.3905362221210256]","[[86.03735204711346, 52.645966576362184, 1.3905270820403475], [86.04039283964785, 52.647793995602086, 1.3905453622254869]]"
5785050_6_0,1,"[22.307974573449478, -13.716715840644772, 14.126763265073082]","[[21.392471191971968, -13.989811759253698, 13.944859566123892], [23.223477954926945, -13.443619922035868, 14.308666964022041]]"
5785050_6_0,3,"[33.27173610943949, 9.739753342934481, 12.967919299554891]","[[33.27052712453518, 9.738786202459577, 12.967588791040736], [33.27294509453888, 9.7407204834364, 12.968249808117132]]"
5785050_6_0,4,"[18.75504488096643, -21.000156691315382, 10.002255707069917]","[[15.59212628570555, -21.851515437843094, 9.305567976966781], [21.917963476227296, -20.148797944787677, 10.698943437173053]]"
5785050_6_0,6,"[61.18357967520609, -5.444083341121343, 15.157270628077443]","[[58.70284752224743, -6.321261609419665, 14.983061827548187], [63.66431182816469, -4.566905072823012, 15.331479428606674]]"
