file,has_hidden_void,void_num,center_mass,bounds
5820406_1_2_void.stl,YES,1,"[16.21, 3.935, 18.731]","[[15.94, 3.891, 18.501], [16.481, 3.979, 18.96]]"
5820406_1_2_void.stl,YES,2,"[20.779, 2.245, 1.684]","[[20.716, 2.238, 1.652], [20.842, 2.252, 1.716]]"
5820406_1_2_void.stl,YES,3,"[10.861, 4.087, 17.874]","[[10.79, 4.073, 17.814], [10.933, 4.101, 17.934]]"
5820406_1_2_void.stl,YES,4,"[-20.119, 2.532, 10.93]","[[-20.121, 2.532, 10.93], [-20.117, 2.532, 10.931]]"
5820406_1_2_void.stl,YES,5,"[-14.421, 3.629, 18.87]","[[-14.541, 3.619, 18.795], [-14.301, 3.64, 18.944]]"
5820406_1_2_void.stl,YES,6,"[6.871, 5.249, 19.499]","[[4.193, 4.767, 18.54], [9.55, 5.732, 20.458]]"
5820406_1_2_void.stl,YES,7,"[16.474, 1.083, 6.487]","[[16.471, 1.082, 6.484], [16.478, 1.084, 6.489]]"
5820406_1_2_void.stl,YES,8,"[9.97, 4.518, 4.362]","[[9.91, 4.506, 4.301], [10.03, 4.531, 4.422]]"
5903545_2_2_void.stl,YES,1,"[-61.31, -48.782, 15.209]","[[-61.315, -48.786, 15.208], [-61.305, -48.778, 15.21]]"
5903545_2_3_void.stl,YES,1,"[13.403, 21.144, 2.303]","[[13.403, 21.144, 2.303], [13.403, 21.144, 2.303]]"
5903545_2_3_void.stl,YES,2,"[-59.997, 3.13, 7.932]","[[-60.514, 2.472, 7.74], [-59.48, 3.788, 8.124]]"
5903545_2_3_void.stl,YES,3,"[18.051, 41.925, 2.21]","[[17.404, 41.611, 2.078], [18.697, 42.238, 2.341]]"
5903545_2_3_void.stl,YES,4,"[-4.875, -28.263, 1.961]","[[-5.109, -28.407, 1.892], [-4.641, -28.12, 2.03]]"
5823799_4_2_void.stl,NO,,,
5816424_1_1_void.stl,NO,,,
5816424_1_0_void.stl,NO,,,
5805749_1_0_void.stl,YES,1,"[2.925, 4.727, 0.951]","[[2.925, 4.727, 0.951], [2.926, 4.728, 0.951]]"
5803369_7_1_void.stl,YES,1,"[-3.795, -14.35, 39.605]","[[-5.256, -18.696, 35.259], [-2.339, -10.002, 43.953]]"
5803369_7_0_void.stl,YES,1,"[-3.795, -14.35, 5.098]","[[-5.256, -18.696, 0.753], [-2.339, -10.002, 9.446]]"
5805749_1_1_void.stl,YES,1,"[21.661, 16.417, 0.237]","[[21.659, 16.415, 0.236], [21.663, 16.419, 0.238]]"
5805749_1_1_void.stl,YES,2,"[6.408, 20.709, 0.895]","[[5.326, 19.893, 0.71], [7.49, 21.524, 1.079]]"
5853274_1_0_void.stl,YES,1,"[49.721, 31.782, 54.643]","[[49.691, 31.75, 54.627], [49.751, 31.814, 54.659]]"
5853274_1_0_void.stl,YES,2,"[23.246, -23.961, 8.413]","[[20.535, -25.924, 7.414], [25.957, -21.998, 9.412]]"
5853274_1_0_void.stl,YES,3,"[-9.717, -27.48, 38.916]","[[-9.718, -27.48, 38.916], [-9.717, -27.48, 38.916]]"
5853274_1_0_void.stl,YES,4,"[45.298, -33.051, 4.696]","[[44.476, -33.365, 4.527], [46.119, -32.737, 4.866]]"
5853274_1_0_void.stl,YES,5,"[20.207, -22.518, 30.712]","[[18.544, -23.608, 30.343], [21.87, -21.428, 31.08]]"
5853274_1_0_void.stl,YES,6,"[-31.234, 17.076, 4.825]","[[-31.36, 16.911, 4.757], [-31.108, 17.242, 4.893]]"
5819785_1_1_void.stl,NO,,,
5892823_1_0_void.stl,YES,1,"[0.218, 54.536, 1.462]","[[0.085, 52.72, 1.35], [0.35, 56.352, 1.573]]"
5892823_1_0_void.stl,YES,2,"[5.374, -3.582, 11.186]","[[5.321, -3.974, 11.163], [5.427, -3.191, 11.209]]"
5892823_1_0_void.stl,YES,3,"[-0.668, 51.043, 8.347]","[[-0.668, 51.038, 8.347], [-0.667, 51.048, 8.347]]"
5892823_1_1_void.stl,YES,1,"[1.88, 108.596, 1.078]","[[1.88, 108.595, 1.078], [1.88, 108.596, 1.078]]"
5892823_1_1_void.stl,YES,2,"[-0.196, 25.398, 7.623]","[[-0.197, 25.366, 7.622], [-0.194, 25.429, 7.625]]"
5892823_1_1_void.stl,YES,3,"[17.069, -41.528, 12.158]","[[16.968, -42.754, 12.065], [17.17, -40.302, 12.251]]"
5892823_1_1_void.stl,YES,4,"[18.759, 37.29, 11.463]","[[18.739, 36.986, 11.448], [18.78, 37.593, 11.478]]"
5892823_1_1_void.stl,YES,5,"[7.291, 20.671, 12.501]","[[7.291, 20.668, 12.501], [7.291, 20.674, 12.501]]"
5892823_1_1_void.stl,YES,6,"[4.639, -65.788, 11.765]","[[4.582, -67.014, 11.71], [4.696, -64.563, 11.821]]"
5892823_1_1_void.stl,YES,7,"[13.116, 14.981, 12.26]","[[12.496, 10.743, 11.964], [13.737, 19.219, 12.556]]"
5892823_1_1_void.stl,YES,8,"[0.686, -96.604, 1.137]","[[0.624, -97.963, 1.067], [0.748, -95.244, 1.207]]"
5819785_1_0_void.stl,NO,,,
5826735_2_3_void.stl,YES,1,"[4.679, -1.962, 6.826]","[[4.555, -2.161, 6.765], [4.803, -1.763, 6.887]]"
5826735_2_3_void.stl,YES,2,"[-6.351, -15.245, 25.543]","[[-8.384, -17.487, 24.209], [-4.319, -13.004, 26.876]]"
5864029_1_1_void.stl,NO,,,
5826735_2_2_void.stl,YES,1,"[-5.436, 48.38, 19.721]","[[-5.723, 47.843, 19.61], [-5.15, 48.917, 19.832]]"
5864029_1_0_void.stl,NO,,,
5779197_1_0_void.stl,NO,,,
5884572_1_2_void.stl,NO,,,
5731853_3_1_void.stl,YES,1,"[3.353, 2.271, 121.251]","[[-1.092, 1.834, 119.171], [7.797, 2.707, 123.331]]"
5731853_3_1_void.stl,YES,2,"[-0.853, 30.405, 89.61]","[[-1.949, 30.26, 89.302], [0.243, 30.549, 89.919]]"
5731853_3_1_void.stl,YES,3,"[19.811, 0.373, 21.156]","[[19.81, 0.372, 21.155], [19.812, 0.373, 21.156]]"
5731853_3_1_void.stl,YES,4,"[-21.935, 16.671, 88.266]","[[-21.96, 16.663, 88.244], [-21.911, 16.678, 88.287]]"
5731853_3_1_void.stl,YES,5,"[-16.099, 34.454, 2.831]","[[-16.107, 34.452, 2.824], [-16.092, 34.455, 2.837]]"
5779197_1_1_void.stl,NO,,,
5731853_3_0_void.stl,YES,1,"[-6.169, 25.188, 136.848]","[[-6.777, 25.062, 136.535], [-5.562, 25.313, 137.16]]"
5731853_3_0_void.stl,YES,2,"[-6.572, 3.293, 30.812]","[[-6.672, 3.266, 30.722], [-6.472, 3.32, 30.902]]"
5731853_3_0_void.stl,YES,3,"[-8.883, 15.616, 42.855]","[[-19.726, 13.285, 35.206], [1.96, 17.946, 50.504]]"
5731853_3_0_void.stl,YES,4,"[-11.912, 13.956, 62.509]","[[-12.424, 13.702, 61.804], [-11.4, 14.21, 63.213]]"
5731853_3_0_void.stl,YES,5,"[-1.677, 14.838, 20.769]","[[-1.755, 14.825, 20.686], [-1.598, 14.85, 20.852]]"
5731853_3_0_void.stl,YES,6,"[1.465, 28.455, 41.548]","[[1.013, 28.375, 41.19], [1.916, 28.534, 41.907]]"
5731853_3_0_void.stl,YES,7,"[-2.9, 17.286, 27.244]","[[-3.121, 17.161, 26.98], [-2.679, 17.41, 27.509]]"
5731853_3_0_void.stl,YES,8,"[-15.055, 12.783, 74.413]","[[-18.647, 12.356, 72.587], [-11.463, 13.21, 76.238]]"
5884572_1_3_void.stl,YES,1,"[23.415, 7.868, 125.378]","[[23.389, 7.836, 125.34], [23.441, 7.901, 125.416]]"
5884572_1_3_void.stl,YES,2,"[-29.671, -28.643, 88.423]","[[-29.678, -28.651, 88.41], [-29.664, -28.635, 88.436]]"
5884572_1_3_void.stl,YES,3,"[24.266, 7.501, 9.737]","[[24.262, 7.495, 9.733], [24.269, 7.506, 9.741]]"
5884572_1_3_void.stl,YES,4,"[-12.873, 68.943, 98.262]","[[-12.874, 68.942, 98.262], [-12.873, 68.943, 98.263]]"
5782067_1_0_void.stl,YES,1,"[0.36, -0.824, 3.03]","[[0.359, -0.824, 3.029], [0.36, -0.824, 3.03]]"
5782067_1_0_void.stl,YES,2,"[6.308, -1.386, 6.135]","[[6.308, -1.386, 6.134], [6.308, -1.386, 6.135]]"
