5826735_2_0,0,"[-10.060833103293065, -16.699015920062884, 21.2234529248659]","[[-10.080145165779236, -16.764305527029784, 21.21146630365964], [-10.041521040806508, -16.633726313095103, 21.23543954606967]]"
5826735_2_0,1,"[-23.210152578031696, 30.091955200560633, 4.838760590889339]","[[-23.215590969840612, 30.07974984769058, 4.835255302064809], [-23.20471418624217, 30.104160553455017, 4.842265879718326]]"
5826735_2_0,2,"[7.0802464728839585, -40.05598682566439, 2.1556628324737668]","[[7.063179941256602, -40.09075841809612, 2.1450241155032472], [7.097313004511453, -40.02121523323277, 2.1663015494443343]]"
5826735_2_0,3,"[32.50005576711271, -12.199023044516435, 10.054367761952678]","[[32.49965798150291, -12.199838934915341, 10.05420987488398], [32.50045355280268, -12.198207154180771, 10.054525649012817]]"
5826735_2_0,4,"[12.323356520808034, 1.0419840196554762, 17.864863485252144]","[[12.317771194377839, 1.0346421117686078, 17.862130118067753], [12.328941847236125, 1.0493259275422389, 17.867596852441594]]"
5826735_2_1,0,"[29.89067427253766, 12.874325087348181, 9.526774886161084]","[[29.851320627421938, 12.839502761456616, 9.505773391474818], [29.93002791765537, 12.909147413240659, 9.547776380847438]]"
5826735_2_1,1,"[-3.0714038910355237, 11.161971433836529, 15.159478202320036]","[[-3.3284920356914487, 10.75903029125078, 14.982016074125298], [-2.814315746379597, 11.564912576422275, 15.336940330514665]]"
5826735_2_1,2,"[6.183977278718205, 42.173027788099674, 17.626390118865057]","[[5.753228980058752, 41.61940209762197, 17.389202557708295], [6.614725577377653, 42.72665347857722, 17.863577680021763]]"
5826735_2_1,3,"[-19.743386673144904, -6.24874194647731, 3.2962502466178765]","[[-19.859728256774293, -6.407460086610439, 3.2573332793591643], [-19.627045089516354, -6.090023806344365, 3.335167213876675]]"
5826735_2_2,0,"[28.900134329440863, 50.23442784552598, 2.623946832547862]","[[28.66122115150492, 49.94467777331435, 2.481821187110457], [29.139047507376844, 50.5241779177376, 2.766072477985267]]"
5826735_2_2,2,"[-7.286490429772292, 48.21269075899005, 23.817293632899055]","[[-7.436048770816247, 48.03973895506192, 23.752787387040904], [-7.136932088728353, 48.385642562918505, 23.8817998787573]]"
5826735_2_2,3,"[16.54435409502115, 18.000263326495386, 15.254082921504377]","[[15.509102417314653, 13.85444209505293, 14.764047330915913], [17.579605772727646, 22.14608455793784, 15.744118512092777]]"
5826735_2_2,4,"[27.052477506822587, 7.982673570393826, 20.139838467413405]","[[27.048385890251055, 7.978306213756471, 20.13751203342173], [27.056569123382687, 7.98704092703029, 20.142164901402204]]"
5826735_2_3,0,"[-5.18800342247233, -16.912919698585704, 7.904521055109098]","[[-5.863287464508089, -18.83093880445415, 7.657606850774813], [-4.512719380436566, -14.99490059271723, 8.151435259443367]]"
5903116_5_0,0,"[2.481656265184812, -9.477339800066785, 0.7212925485922964]","[[2.463405849297917, -9.510207393103395, 0.7151981726212282], [2.4999066810717316, -9.444472207030023, 0.7273869245633622]]"
5903116_5_0,1,"[-6.298534427811176, 3.2120985010901135, 2.987830255775452]","[[-6.338242794104231, 3.1313364614626145, 2.9689576461745237], [-6.258826061518151, 3.292860540717593, 3.006702865376386]]"
5903116_5_0,3,"[14.896525773710083, -13.396853305489438, 13.1298382900135]","[[14.62764236846238, -13.762655693276274, 13.054545254753958], [15.16540917895786, -13.031050917702663, 13.205131325273182]]"
5903116_5_0,4,"[-2.5009211231782835, -18.980128403392257, 1.8829473237525431]","[[-3.7744349138876636, -20.5906019893369, 1.4477379125844292], [-1.2274073324689034, -17.36965481744762, 2.3181567349206564]]"
5903116_5_1,0,"[-2.024270619597643, -4.71162795060362, 2.7489190184235612]","[[-2.6358167263330783, -6.042202409702118, 2.4957820401426183], [-1.4127245128622095, -3.3810534915051234, 3.0020559967045024]]"
5805844_1_0,0,"[118.95126212553639, 34.39481660027901, 0.7108520586492303]","[[118.7565099433599, 34.237685898772654, 0.7083926260570811], [119.14601430772598, 34.551947301787905, 0.7133114912414281]]"
5805844_1_0,1,"[31.17980863108721, 33.806303298394496, 0.8145028825438121]","[[6.682427664200745, 24.984675595519043, 0.5861990821670121], [55.67718959797368, 42.62793100126998, 1.0428066829206126]]"
